date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-02-2020,1,0,0,1,0,0
03-03-2020,1,0,0,0,0,0
03-04-2020,1,0,0,0,0,0
03-05-2020,1,0,0,0,0,0
03-06-2020,1,0,0,0,0,0
03-07-2020,1,0,0,0,0,0
03-08-2020,1,0,0,0,0,0
03-09-2020,1,0,0,0,0,0
03-10-2020,1,0,0,0,0,0
03-11-2020,1,0,0,0,0,0
03-12-2020,1,0,0,0,0,0
03-13-2020,1,0,1,0,0,1
03-14-2020,1,0,1,0,0,0
03-15-2020,2,0,1,1,0,0
03-16-2020,14,0,1,12,0,0
03-17-2020,39,0,1,25,0,0
03-18-2020,39,0,1,0,0,0
03-19-2020,53,0,1,14,0,0
03-20-2020,75,0,1,22,0,0
03-21-2020,75,0,1,0,0,0
03-22-2020,113,1,1,38,1,0
