date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-28-2020,1,0,0,1,0,0
02-29-2020,1,0,0,0,0,0
03-01-2020,2,0,0,1,0,0
03-02-2020,2,0,0,0,0,0
03-03-2020,4,0,0,2,0,0
03-04-2020,6,0,0,2,0,0
03-05-2020,6,0,0,0,0,0
03-06-2020,6,0,0,0,0,0
03-07-2020,6,0,0,0,0,0
03-08-2020,6,0,0,0,0,0
03-09-2020,6,0,0,0,0,0
03-10-2020,9,0,0,3,0,0
03-11-2020,9,0,0,0,0,0
03-12-2020,9,0,0,0,0,0
03-13-2020,12,0,0,3,0,0
03-14-2020,27,0,3,15,0,3
03-15-2020,27,0,3,0,0,0
03-16-2020,36,0,3,9,0,0
03-17-2020,36,0,3,0,0,0
03-18-2020,36,0,3,0,0,0
03-19-2020,36,0,3,0,0,0
03-20-2020,69,0,5,33,0,2
03-21-2020,69,0,5,0,0,0
03-22-2020,76,0,15,7,0,10
