region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,109.17,1330,1264,1406,101.18,117.77,1330 [1264 - 1406],109.17% [101.18% - 117.77%],2463,1789,3190,11-23-2020,projected
2,AL- DOTHAN,96.49,115,112,125,93.55,103.42,115 [112 - 125],96.49% [93.55% - 103.42%],219,180,311,11-23-2020,projected
5,AL- HUNTSVILLE,120.0,416,394,442,109.2,133.03,416 [394 - 442],120.0% [109.2% - 133.03%],752,549,997,11-23-2020,projected
6,AL- MOBILE,97.19,271,258,290,92.92,103.21,271 [258 - 290],97.19% [92.92% - 103.21%],491,369,663,11-23-2020,projected
7,AL- MONTGOMERY,98.63,152,145,162,93.0,104.26,152 [145 - 162],98.63% [93.0% - 104.26%],288,201,375,11-23-2020,projected
9,AL- TUSCALOOSA,106.65,143,137,150,100.04,113.27,143 [137 - 150],106.65% [100.04% - 113.27%],266,200,332,11-23-2020,projected
11,AZ- MESA,190.05,1299,1231,1398,160.51,228.69,1299 [1231 - 1398],190.05% [160.51% - 228.69%],2179,1594,2944,11-23-2020,projected
12,AZ- PHOENIX,149.53,3109,2946,3341,130.94,173.65,3109 [2946 - 3341],149.53% [130.94% - 173.65%],5267,3859,7094,11-23-2020,projected
14,AZ- SUN CITY,125.8,220,209,237,113.46,141.85,220 [209 - 237],125.8% [113.46% - 141.85%],371,271,501,11-23-2020,projected
15,AZ- TUCSON,142.68,933,883,1002,125.64,164.27,933 [883 - 1002],142.68% [125.64% - 164.27%],1582,1152,2127,11-23-2020,projected
16,AR- FORT SMITH,100.45,137,130,146,94.83,107.71,137 [130 - 146],100.45% [94.83% - 107.71%],262,190,355,11-23-2020,projected
18,AR- JONESBORO,104.12,116,110,123,97.37,111.08,116 [110 - 123],104.12% [97.37% - 111.08%],218,157,281,11-23-2020,projected
19,AR- LITTLE ROCK,98.59,583,554,622,93.32,104.79,583 [554 - 622],98.59% [93.32% - 104.79%],1073,769,1431,11-23-2020,projected
21,AR- SPRINGDALE,117.46,212,201,224,106.11,128.53,212 [201 - 224],117.46% [106.11% - 128.53%],396,276,513,11-23-2020,projected
22,AR- TEXARKANA,94.18,74,71,80,91.33,98.98,74 [71 - 80],94.18% [91.33% - 98.98%],139,111,186,11-23-2020,projected
23,CA- ORANGE CO.,104.77,1135,1077,1230,98.6,114.44,1135 [1077 - 1230],104.77% [98.6% - 114.44%],1895,1423,2635,11-23-2020,projected
25,CA- BAKERSFIELD,104.06,525,498,568,97.75,113.21,525 [498 - 568],104.06% [97.75% - 113.21%],870,642,1201,11-23-2020,projected
31,CA- CHICO,98.59,66,63,70,94.06,104.06,66 [63 - 70],98.59% [94.06% - 104.06%],119,90,154,11-23-2020,projected
33,CA- CONTRA COSTA CO.,101.07,240,227,255,95.48,107.96,240 [227 - 255],101.07% [95.48% - 107.96%],422,310,560,11-23-2020,projected
43,CA- FRESNO,109.61,378,359,402,102.12,119.12,378 [359 - 402],109.61% [102.12% - 119.12%],676,505,893,11-23-2020,projected
56,CA- LOS ANGELES,126.12,7063,6694,7734,114.25,146.23,7063 [6694 - 7734],126.12% [114.25% - 146.23%],11439,8494,16426,11-23-2020,projected
58,CA- MODESTO,117.87,378,358,406,107.92,131.54,378 [358 - 406],117.87% [107.92% - 131.54%],651,480,886,11-23-2020,projected
62,CA- NAPA,94.43,47,45,51,90.82,99.76,47 [45 - 51],94.43% [90.82% - 99.76%],84,63,115,11-23-2020,projected
65,CA- ALAMEDA CO.,97.19,348,330,377,92.73,104.03,348 [330 - 377],97.19% [92.73% - 104.03%],581,430,812,11-23-2020,projected
69,CA- PALM SPR/RANCHO MIR.,106.59,161,153,173,100.04,115.99,161 [153 - 173],106.59% [100.04% - 115.99%],280,211,379,11-23-2020,projected
73,CA- REDDING,104.95,151,144,160,98.85,112.9,151 [144 - 160],104.95% [98.85% - 112.9%],270,204,356,11-23-2020,projected
77,CA- SACRAMENTO,110.14,823,780,877,102.12,120.01,823 [780 - 877],110.14% [102.12% - 120.01%],1442,1058,1914,11-23-2020,projected
78,CA- SALINAS,117.45,176,167,190,108.25,131.95,176 [167 - 190],117.45% [108.25% - 131.95%],297,224,412,11-23-2020,projected
79,CA- SAN BERNARDINO,147.57,2255,2146,2401,131.02,170.0,2255 [2146 - 2401],147.57% [131.02% - 170.0%],3907,2950,5204,11-23-2020,projected
80,CA- SAN DIEGO,131.87,2217,2103,2398,118.72,152.15,2217 [2103 - 2398],131.87% [118.72% - 152.15%],3648,2723,5074,11-23-2020,projected
81,CA- SAN FRANCISCO,87.53,215,203,230,85.52,90.07,215 [203 - 230],87.53% [85.52% - 90.07%],382,280,511,11-23-2020,projected
82,CA- SAN JOSE,100.79,358,340,382,95.4,107.53,358 [340 - 382],100.79% [95.4% - 107.53%],629,466,833,11-23-2020,projected
83,CA- SAN LUIS OBISPO,106.32,67,64,71,99.52,114.43,67 [64 - 71],106.32% [99.52% - 114.43%],120,89,157,11-23-2020,projected
85,CA- SAN MATEO CO.,89.01,139,132,149,86.57,92.09,139 [132 - 149],89.01% [86.57% - 92.09%],243,177,326,11-23-2020,projected
86,CA- SANTA BARBARA,92.53,69,66,73,89.32,96.56,69 [66 - 73],92.53% [89.32% - 96.56%],121,90,160,11-23-2020,projected
87,CA- SANTA CRUZ,109.53,58,55,62,102.28,119.28,58 [55 - 62],109.53% [102.28% - 119.28%],106,80,141,11-23-2020,projected
89,CA- SANTA ROSA,88.28,87,83,94,86.23,91.39,87 [83 - 94],88.28% [86.23% - 91.39%],154,116,212,11-23-2020,projected
91,CA- STOCKTON,101.54,128,121,137,95.62,108.6,128 [121 - 137],101.54% [95.62% - 108.6%],229,166,304,11-23-2020,projected
96,CA- VENTURA,130.03,489,461,531,116.55,149.49,489 [461 - 531],130.03% [116.55% - 149.49%],787,575,1093,11-23-2020,projected
101,CO- BOULDER,141.89,158,149,169,123.37,164.42,158 [149 - 169],141.89% [123.37% - 164.42%],294,206,401,11-23-2020,projected
102,CO- COLORADO SPRINGS,203.86,706,667,764,169.08,257.58,706 [667 - 764],203.86% [169.08% - 257.58%],1282,922,1838,11-23-2020,projected
103,CO- DENVER,171.42,2403,2275,2559,145.42,202.29,2403 [2275 - 2559],171.42% [145.42% - 202.29%],4367,3125,5842,11-23-2020,projected
104,CO- FORT COLLINS,137.75,199,189,213,121.63,158.4,199 [189 - 213],137.75% [121.63% - 158.4%],369,266,501,11-23-2020,projected
105,CO- GRAND JUNCTION,168.76,415,391,448,142.75,202.85,415 [391 - 448],168.76% [142.75% - 202.85%],703,497,973,11-23-2020,projected
106,CO- GREELEY,162.11,346,328,370,138.94,189.78,346 [328 - 370],162.11% [138.94% - 189.78%],638,458,853,11-23-2020,projected
107,CO- PUEBLO,155.44,338,319,362,133.76,183.01,338 [319 - 362],155.44% [133.76% - 183.01%],602,429,822,11-23-2020,projected
109,CT- BRIDGEPORT,158.7,753,714,798,137.52,182.83,753 [714 - 798],158.7% [137.52% - 182.83%],1334,975,1743,11-23-2020,projected
110,CT- HARTFORD,179.88,1946,1840,2088,152.17,213.54,1946 [1840 - 2088],179.88% [152.17% - 213.54%],3252,2350,4348,11-23-2020,projected
111,CT- NEW HAVEN,148.93,1520,1440,1615,129.82,170.73,1520 [1440 - 1615],148.93% [129.82% - 170.73%],2655,1919,3495,11-23-2020,projected
112,DE- WILMINGTON,116.52,380,360,402,106.8,127.53,380 [360 - 402],116.52% [106.8% - 127.53%],680,499,885,11-23-2020,projected
113,DC- WASHINGTON,131.38,1594,1513,1690,117.86,147.75,1594 [1513 - 1690],131.38% [117.86% - 147.75%],2820,2078,3719,11-23-2020,projected
115,FL- BRADENTON,107.64,110,105,120,100.31,119.63,110 [105 - 120],107.64% [100.31% - 119.63%],196,144,281,11-23-2020,projected
116,FL- CLEARWATER,92.77,119,113,129,89.47,97.72,119 [113 - 129],92.77% [89.47% - 97.72%],209,155,290,11-23-2020,projected
118,FL- FORT LAUDERDALE,97.83,859,817,926,93.15,104.57,859 [817 - 926],97.83% [93.15% - 104.57%],1551,1144,2137,11-23-2020,projected
119,FL- FORT MYERS,100.31,440,418,476,94.82,108.04,440 [418 - 476],100.31% [94.82% - 108.04%],777,567,1073,11-23-2020,projected
120,FL- GAINESVILLE,92.93,135,126,148,89.29,99.17,135 [126 - 148],92.93% [89.29% - 99.17%],238,171,353,11-23-2020,projected
122,FL- HUDSON,97.65,128,121,140,92.86,105.24,128 [121 - 140],97.65% [92.86% - 105.24%],221,161,316,11-23-2020,projected
123,FL- JACKSONVILLE,98.22,499,474,541,93.21,105.26,499 [474 - 541],98.22% [93.21% - 105.26%],895,649,1241,11-23-2020,projected
124,FL- LAKELAND,92.08,70,66,75,88.99,96.39,70 [66 - 75],92.08% [88.99% - 96.39%],129,96,175,11-23-2020,projected
127,FL- MIAMI,125.51,2946,2789,3226,113.19,144.94,2946 [2789 - 3226],125.51% [113.19% - 144.94%],4907,3579,7002,11-23-2020,projected
129,FL- OCALA,101.78,176,166,193,95.72,111.8,176 [166 - 193],101.78% [95.72% - 111.8%],298,215,435,11-23-2020,projected
130,FL- ORLANDO,97.1,993,944,1069,92.59,103.23,993 [944 - 1069],97.1% [92.59% - 103.23%],1772,1304,2407,11-23-2020,projected
131,FL- ORMOND BEACH,87.44,69,66,75,85.56,90.46,69 [66 - 75],87.44% [85.56% - 90.46%],123,92,173,11-23-2020,projected
133,FL- PANAMA CITY,108.01,108,102,116,100.18,117.5,108 [102 - 116],108.01% [100.18% - 117.5%],186,134,249,11-23-2020,projected
134,FL- PENSACOLA,102.69,299,284,324,96.26,111.46,299 [284 - 324],102.69% [96.26% - 111.46%],533,382,739,11-23-2020,projected
137,FL- SARASOTA,133.7,470,445,517,118.96,165.12,470 [445 - 517],133.7% [118.96% - 165.12%],776,563,1230,11-23-2020,projected
139,FL- ST PETERSBURG,90.58,96,91,105,87.88,94.77,96 [91 - 105],90.58% [87.88% - 94.77%],169,126,236,11-23-2020,projected
140,FL- TALLAHASSEE,95.09,229,218,249,90.9,101.36,229 [218 - 249],95.09% [90.9% - 101.36%],407,294,576,11-23-2020,projected
141,FL- TAMPA,95.75,380,361,412,91.6,102.02,380 [361 - 412],95.75% [91.6% - 102.02%],671,494,938,11-23-2020,projected
142,GA- ALBANY,84.14,26,25,30,83.01,86.59,26 [25 - 30],84.14% [83.01% - 86.59%],44,32,70,11-23-2020,projected
144,GA- ATLANTA,120.21,2712,2577,2904,109.38,134.19,2712 [2577 - 2904],120.21% [109.38% - 134.19%],4817,3519,6492,11-23-2020,projected
145,GA- AUGUSTA,95.27,206,195,219,90.63,100.49,206 [195 - 219],95.27% [90.63% - 100.49%],375,261,503,11-23-2020,projected
146,GA- COLUMBUS,89.45,68,63,75,86.12,93.58,68 [63 - 75],89.45% [86.12% - 93.58%],119,77,171,11-23-2020,projected
147,GA- MACON,92.79,158,150,168,88.94,96.99,158 [150 - 168],92.79% [88.94% - 96.99%],286,200,380,11-23-2020,projected
148,GA- ROME,114.15,136,130,144,104.73,124.26,136 [130 - 144],114.15% [104.73% - 124.26%],250,181,324,11-23-2020,projected
149,GA- SAVANNAH,95.5,183,172,208,90.88,105.46,183 [172 - 208],95.5% [90.88% - 105.46%],319,224,524,11-23-2020,projected
